Fixed/Offset Slit,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,2.00,2.00,2.00,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,
Detector,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,

697.500,1.80258008E+3,2.07439795E+3,2.13162256E+3,2.13162256E+3,2.07439795E+3,2.16023486E+3,2.06009155E+3,2.16023486E+3,2.48927734E+3,2.19600049E+3,2.43205249E+3,2.54650195E+3,2.68956396E+3,2.70387012E+3,2.58226758E+3,2.93992236E+3,2.75394189E+3,3.06867822E+3,2.54650195E+3,3.01860645E+3,2.75394189E+3,3.22604639E+3,2.96853467E+3,3.01860645E+3,3.04721875E+3,2.84693213E+3,2.91131006E+3,3.09729053E+3,2.79686035E+3,3.12590283E+3,2.62518604E+3,2.90415674E+3,2.76824805E+3,2.47497119E+3,
698.00,1.78803882E+3,2.01064612E+3,2.02500806E+3,1.82394336E+3,2.01782690E+3,2.13990210E+3,2.01782703E+3,2.11835938E+3,2.37687109E+3,2.75027661E+3,2.70001074E+3,2.75745752E+3,2.70001050E+3,2.73591504E+3,2.92261768E+3,2.69282959E+3,2.89389453E+3,3.06623535E+3,2.76463867E+3,2.76463843E+3,2.91543701E+3,2.89389429E+3,3.01596924E+3,3.16676758E+3,2.86517090E+3,2.89389429E+3,2.62102100E+3,3.13086328E+3,3.03033105E+3,2.80054297E+3,3.10213965E+3,2.60665918E+3,2.72155322E+3,2.48458423E+3,
698.500,1.78800317E+3,1.73753540E+3,1.72311597E+3,2.02592285E+3,2.05476172E+3,1.91777759E+3,2.19174585E+3,2.22779443E+3,2.27105249E+3,2.49455273E+3,2.49455273E+3,2.40803638E+3,2.61711743E+3,2.63874658E+3,2.89108569E+3,2.84782764E+3,2.59548853E+3,2.94876318E+3,2.78294043E+3,2.71805322E+3,2.97039233E+3,2.78294043E+3,3.07853760E+3,3.10016675E+3,2.71805322E+3,2.86945654E+3,3.07132788E+3,2.89108569E+3,2.85503711E+3,2.64595630E+3,2.60990771E+3,2.94155371E+3,2.81898877E+3,2.80456958E+3,
699.00,1.67957446E+3,1.62165820E+3,1.83160498E+3,1.89676099E+3,2.12118701E+3,2.12118701E+3,2.15014502E+3,2.01259363E+3,2.35285229E+3,2.30217554E+3,2.42524780E+3,2.45420605E+3,2.57727832E+3,2.45420605E+3,2.59175732E+3,2.71482959E+3,2.57003882E+3,2.93201611E+3,3.15644189E+3,2.91753687E+3,2.76550635E+3,2.90305762E+3,3.37362842E+3,2.99717188E+3,2.68587158E+3,2.89581836E+3,2.75102734E+3,2.61347607E+3,2.68587134E+3,2.59899683E+3,2.71482959E+3,2.70035059E+3,2.74378784E+3,2.35285229E+3,
699.500,1.83215540E+3,1.91213049E+3,1.94848279E+3,1.83942578E+3,1.99210559E+3,2.17386694E+3,1.91940088E+3,1.98483496E+3,2.06481006E+3,2.55193066E+3,2.31927612E+3,2.45014429E+3,2.71188086E+3,2.74823291E+3,2.36289893E+3,2.64644678E+3,2.82093774E+3,2.82820801E+3,2.59555347E+3,2.87183105E+3,2.77004443E+3,3.06813330E+3,2.77004443E+3,2.68279907E+3,2.79912622E+3,2.87910132E+3,3.05359229E+3,2.90091260E+3,2.68279907E+3,2.84274902E+3,2.55920117E+3,2.67552856E+3,2.69733984E+3,2.58828296E+3,
700.00,1.78180347E+3,1.78910583E+3,1.92055042E+3,2.07390234E+3,1.91324780E+3,1.87673547E+3,2.20534668E+3,2.20534668E+3,2.22725415E+3,2.34409375E+3,2.10311230E+3,2.44632837E+3,2.39521118E+3,2.36600122E+3,2.71652002E+3,2.67270508E+3,2.89177930E+3,2.61428540E+3,2.66540259E+3,2.55586548E+3,2.79684717E+3,2.84066211E+3,2.85526685E+3,3.03782886E+3,2.76763721E+3,2.62158789E+3,2.88447681E+3,2.81145215E+3,2.65810010E+3,2.69461255E+3,2.60698291E+3,2.83335938E+3,2.92098926E+3,2.23455664E+3,
700.500,1.36440637E+3,1.67983374E+3,1.84855054E+3,1.74585327E+3,1.92924121E+3,2.00993213E+3,2.21532642E+3,2.39137891E+3,2.04660962E+3,2.09795825E+3,2.16397803E+3,2.34003027E+3,2.45006299E+3,2.66279321E+3,2.64812207E+3,2.86085205E+3,2.83151025E+3,2.72881274E+3,2.78749707E+3,2.65545752E+3,2.69213525E+3,2.72147729E+3,2.64812207E+3,2.66279321E+3,2.91953613E+3,2.78016162E+3,2.65545752E+3,2.76549023E+3,2.66279321E+3,2.64812207E+3,3.06624683E+3,2.87552319E+3,2.52341821E+3,2.41338550E+3,
701.00,1.45166650E+3,1.79063428E+3,1.51061731E+3,1.70957666E+3,1.85695386E+3,1.97485571E+3,1.92327368E+3,2.32856128E+3,2.38014331E+3,2.21065942E+3,2.49804517E+3,2.33593018E+3,2.75595557E+3,2.52752051E+3,2.78543115E+3,2.63805371E+3,2.78543091E+3,2.66752905E+3,2.80016870E+3,2.70437354E+3,2.83701294E+3,2.66016016E+3,2.65279150E+3,2.50541406E+3,3.00649683E+3,3.02123462E+3,2.53488965E+3,2.82964404E+3,2.61594702E+3,2.82964404E+3,2.77806201E+3,2.42435645E+3,2.45383203E+3,2.12960205E+3,
701.500,1.56918103E+3,1.65060083E+3,1.79863672E+3,1.90966382E+3,1.79123511E+3,2.16872656E+3,1.96147644E+3,2.09470874E+3,2.21313745E+3,2.21313745E+3,2.25014648E+3,2.39818237E+3,2.28715552E+3,2.56102197E+3,2.57582568E+3,2.70905786E+3,2.99032617E+3,2.50180762E+3,2.64244189E+3,2.62023633E+3,2.87929907E+3,3.07174609E+3,2.70165625E+3,2.82008472E+3,2.69425439E+3,2.50180762E+3,2.78307593E+3,2.46479858E+3,2.81268311E+3,2.58322729E+3,2.19093213E+3,2.76087061E+3,2.34636987E+3,2.19093213E+3,
702.00,1.64301392E+3,1.83630957E+3,1.75453064E+3,1.68762061E+3,1.93295752E+3,1.78426843E+3,2.05190869E+3,1.88091626E+3,2.14112207E+3,2.20059766E+3,2.35672119E+3,2.37902466E+3,2.55745142E+3,2.44593481E+3,2.85482959E+3,2.53514795E+3,2.89943604E+3,2.91430518E+3,2.60949268E+3,2.72844385E+3,2.78048486E+3,2.76561621E+3,2.66896826E+3,2.46080347E+3,2.55001685E+3,2.55745142E+3,2.65409937E+3,2.66896826E+3,2.74331274E+3,2.68383716E+3,2.58718921E+3,2.64666504E+3,2.61692700E+3,2.32698340E+3,
702.500,1.66517920E+3,1.76225244E+3,1.68758057E+3,1.91159583E+3,1.86679285E+3,1.64277759E+3,1.88172717E+3,1.94893188E+3,2.00866907E+3,2.27002002E+3,2.14307813E+3,2.37456055E+3,2.59110840E+3,2.62844434E+3,2.74791895E+3,2.34469165E+3,2.61351001E+3,2.94953247E+3,2.51643652E+3,2.47163379E+3,2.83005786E+3,2.83752515E+3,2.43429785E+3,2.66578003E+3,3.04660596E+3,2.54630542E+3,2.65831299E+3,2.54630542E+3,2.58364111E+3,2.31482300E+3,2.86739355E+3,2.61351001E+3,2.43429785E+3,2.34469189E+3,
703.00,1.65009424E+3,1.74759985E+3,1.82260425E+3,1.70259741E+3,1.82260425E+3,1.80760339E+3,1.86010632E+3,1.95011157E+3,2.23512793E+3,2.07761865E+3,2.19012524E+3,2.13762207E+3,2.16012354E+3,2.28763086E+3,2.73015601E+3,2.43013916E+3,2.65515186E+3,2.86516382E+3,2.55764624E+3,2.70765479E+3,2.79765991E+3,2.59514844E+3,2.61764966E+3,2.75265723E+3,2.55764624E+3,2.43763940E+3,2.62515015E+3,2.63265039E+3,2.32513281E+3,2.58014746E+3,2.61014917E+3,2.55764600E+3,2.34013379E+3,2.32513281E+3,
703.500,1.64253442E+3,1.80829468E+3,1.80829492E+3,1.62746533E+3,1.73294922E+3,1.76308740E+3,2.08707349E+3,1.80829492E+3,1.98912427E+3,1.98158984E+3,2.29804126E+3,2.48640527E+3,2.27543774E+3,2.46380151E+3,2.57682007E+3,2.76518408E+3,2.59942383E+3,2.43366357E+3,2.87820264E+3,2.54668188E+3,2.68230396E+3,2.97615186E+3,2.45626709E+3,2.38845605E+3,2.56175098E+3,2.66723486E+3,2.38845605E+3,2.47887061E+3,2.54668188E+3,2.49393994E+3,2.46380176E+3,2.26790308E+3,2.25283398E+3,2.40352515E+3,
704.00,1.55172290E+3,1.65012476E+3,1.74852673E+3,1.62741675E+3,1.83178979E+3,1.96803870E+3,2.03616309E+3,1.89234497E+3,2.20268945E+3,2.23296704E+3,2.03616309E+3,2.25567529E+3,2.18755078E+3,2.17241211E+3,2.41463208E+3,2.67956055E+3,2.26324463E+3,2.51303418E+3,2.53574219E+3,2.73254614E+3,2.52817285E+3,2.56601978E+3,2.57358911E+3,2.42977075E+3,2.49032593E+3,2.70983789E+3,2.67199121E+3,2.64928271E+3,2.19512012E+3,2.27838330E+3,2.67199097E+3,2.33136890E+3,2.29352197E+3,2.09671826E+3,
704.500,1.50573425E+3,1.52854834E+3,1.74148047E+3,1.98483154E+3,1.71866638E+3,2.11411157E+3,1.78710889E+3,2.31183447E+3,1.89357495E+3,2.09890234E+3,2.00764563E+3,2.05327393E+3,2.28902026E+3,2.36506738E+3,2.31943896E+3,2.60081372E+3,2.57799951E+3,2.53237134E+3,2.42590527E+3,2.70727979E+3,2.73769873E+3,2.69207031E+3,2.66165137E+3,2.67686084E+3,2.65404663E+3,2.49434766E+3,2.63883740E+3,2.54758057E+3,2.47153369E+3,2.47913818E+3,2.37267212E+3,2.43351001E+3,2.53997607E+3,2.15973999E+3,
705.00,1.75746228E+3,1.55115149E+3,1.42125208E+3,1.83387378E+3,1.68869189E+3,1.86443823E+3,1.92556738E+3,1.99433765E+3,1.94849072E+3,2.36875342E+3,2.06310791E+3,2.36111230E+3,2.09367236E+3,2.32290674E+3,2.56742310E+3,2.64383447E+3,2.20828955E+3,2.52157617E+3,2.59798755E+3,2.68204004E+3,2.67439917E+3,2.38403564E+3,2.52921753E+3,2.37639453E+3,2.42224146E+3,2.52157617E+3,2.65147559E+3,2.49101172E+3,2.30762427E+3,2.52157617E+3,2.29998315E+3,2.38403564E+3,2.52921729E+3,2.25413623E+3,
705.500,1.59727588E+3,1.72014331E+3,1.48208777E+3,1.58191748E+3,1.62799280E+3,1.81229382E+3,2.04267017E+3,2.20393359E+3,2.04267017E+3,1.95051965E+3,2.05802856E+3,2.01963257E+3,2.24232959E+3,2.38055542E+3,2.28072559E+3,2.79523291E+3,2.57253564E+3,2.52646045E+3,2.42663062E+3,2.64932788E+3,2.33448022E+3,2.33448022E+3,2.38823462E+3,2.46502686E+3,2.41127222E+3,2.45734766E+3,2.36519702E+3,2.55717725E+3,2.56485645E+3,2.26536719E+3,2.26536719E+3,2.54181885E+3,2.34983862E+3,2.03499097E+3,
706.00,1.62862524E+3,1.58231372E+3,1.72124854E+3,1.74440430E+3,1.75212305E+3,1.86790210E+3,1.82159033E+3,1.65178113E+3,2.10717871E+3,1.87562061E+3,2.07630420E+3,2.33873682E+3,2.36961133E+3,2.49310889E+3,2.33101807E+3,2.61660645E+3,2.43907861E+3,2.23839502E+3,2.37732983E+3,2.51626465E+3,2.52398340E+3,2.40820410E+3,2.40048560E+3,2.38504834E+3,2.71694824E+3,2.43907861E+3,2.43135986E+3,2.90991357E+3,2.52398340E+3,2.25383203E+3,2.47767163E+3,2.36189258E+3,2.57801367E+3,2.25383203E+3,
706.500,1.61381897E+3,1.51295532E+3,1.62157788E+3,1.55950781E+3,1.65261279E+3,1.84658130E+3,1.88537512E+3,1.95520374E+3,2.00951501E+3,2.35089966E+3,2.17244873E+3,2.31210596E+3,2.34314111E+3,2.33538232E+3,2.42072852E+3,2.30434741E+3,2.34314111E+3,2.36641748E+3,2.35865845E+3,2.64573218E+3,2.70780225E+3,2.29658862E+3,2.27331250E+3,2.48279834E+3,2.69228467E+3,2.23451855E+3,2.42072852E+3,2.21124243E+3,2.28107104E+3,2.45176343E+3,2.32762354E+3,2.40521118E+3,2.45176367E+3,2.26555371E+3,
707.00,1.73133948E+3,1.50517346E+3,1.70794299E+3,1.63775366E+3,1.47397815E+3,1.65335120E+3,1.89511487E+3,1.91071252E+3,2.13687842E+3,2.11348193E+3,2.05109131E+3,2.05889014E+3,2.02769495E+3,2.17587256E+3,2.31625146E+3,2.48002686E+3,2.37084326E+3,2.58921045E+3,2.48782568E+3,2.36304443E+3,2.46442920E+3,2.33964795E+3,2.37084326E+3,2.35524561E+3,2.33964795E+3,2.44103271E+3,2.31625146E+3,2.28505615E+3,2.24606201E+3,2.07448779E+3,2.06668896E+3,2.28505615E+3,2.28505615E+3,2.12128076E+3,
707.500,1.45789844E+3,1.54411816E+3,1.76358667E+3,1.72439600E+3,1.81845386E+3,1.90467358E+3,1.65385242E+3,1.99089343E+3,1.89683545E+3,2.12414233E+3,1.88899731E+3,1.97521704E+3,2.30441992E+3,2.17117114E+3,2.46902148E+3,2.46118311E+3,2.42199243E+3,2.35928711E+3,2.11630396E+3,2.38280176E+3,2.32009619E+3,2.37496338E+3,2.59443213E+3,2.55524121E+3,2.48469775E+3,2.27306738E+3,2.34361084E+3,2.40631592E+3,2.38280176E+3,2.47685962E+3,2.37496338E+3,2.20252393E+3,2.46902124E+3,2.04576062E+3,
708.00,1.33906970E+3,1.29180835E+3,1.60688354E+3,1.48873047E+3,1.76442126E+3,1.48085352E+3,1.82743628E+3,1.69352930E+3,1.83531311E+3,2.20552661E+3,1.85106689E+3,2.03223511E+3,2.09525024E+3,1.92195874E+3,2.67026245E+3,2.29217236E+3,2.27641846E+3,2.36306421E+3,2.22128027E+3,2.55998633E+3,2.29217236E+3,2.44183301E+3,2.15038843E+3,2.37094116E+3,2.45758691E+3,2.48121729E+3,2.37094116E+3,2.52847876E+3,2.38669482E+3,2.27641846E+3,2.26854150E+3,2.11100391E+3,2.20552637E+3,1.96134326E+3,
708.500,1.57514575E+3,1.51973865E+3,1.71762122E+3,1.75719788E+3,1.59889172E+3,1.55139978E+3,1.80468970E+3,1.75719775E+3,1.63846826E+3,2.14504785E+3,2.02631812E+3,2.08964063E+3,2.12130200E+3,2.07381006E+3,1.97882617E+3,2.14504785E+3,2.51706714E+3,2.46166016E+3,2.39042236E+3,2.51706714E+3,2.27169263E+3,2.36667627E+3,2.63579663E+3,2.38250684E+3,2.39833740E+3,2.17670898E+3,2.20837012E+3,2.43791406E+3,2.28752344E+3,2.12921729E+3,2.54081299E+3,2.37459155E+3,2.16087842E+3,2.08172534E+3,
709.00,1.61461694E+3,1.71006226E+3,1.32828088E+3,1.58280188E+3,1.62257068E+3,1.67029346E+3,1.82936890E+3,1.68620093E+3,1.94072192E+3,2.16342773E+3,1.78164624E+3,1.82936890E+3,2.10775122E+3,2.25091919E+3,2.19524268E+3,2.30659570E+3,2.21910400E+3,2.34636450E+3,2.36227197E+3,2.50543994E+3,2.27478052E+3,2.36227197E+3,2.23501172E+3,2.44976367E+3,2.40999463E+3,2.21115039E+3,2.17138135E+3,2.27478052E+3,2.33045703E+3,2.36227222E+3,2.12365869E+3,2.09979736E+3,2.24296533E+3,1.74983118E+3,
709.500,1.37474060E+3,1.47864539E+3,1.68645496E+3,1.54258691E+3,1.56656482E+3,1.51061609E+3,1.77437439E+3,1.71043311E+3,1.92623535E+3,2.22995703E+3,1.95021326E+3,2.07010352E+3,1.76638184E+3,2.11006689E+3,2.22995703E+3,2.30988379E+3,2.22995703E+3,2.30189111E+3,2.54167163E+3,2.20597900E+3,2.60561279E+3,2.89334937E+3,2.52568628E+3,2.18999365E+3,2.55765698E+3,2.18999365E+3,2.30988379E+3,2.05411816E+3,2.30988379E+3,2.35783984E+3,2.27791309E+3,2.04612549E+3,2.18999365E+3,1.95021326E+3,
710.00,1.45387122E+3,1.62255249E+3,1.83139575E+3,1.40567651E+3,1.67877954E+3,1.65468225E+3,1.76713623E+3,1.69484436E+3,1.81533093E+3,1.85549316E+3,1.93581750E+3,1.73500659E+3,2.13662842E+3,2.16875806E+3,2.32137451E+3,1.95991479E+3,2.00007690E+3,2.37760156E+3,2.08843384E+3,2.24908252E+3,2.20088794E+3,2.44186108E+3,2.24908252E+3,2.14466064E+3,2.00810938E+3,2.28121240E+3,1.92778516E+3,2.32137451E+3,1.95188232E+3,2.19285547E+3,2.29727710E+3,2.29727734E+3,2.13662842E+3,2.06433643E+3,
710.500,1.34828223E+3,1.54204736E+3,1.45323828E+3,1.52590027E+3,1.33213513E+3,1.73581250E+3,1.63085645E+3,1.63892993E+3,1.91343054E+3,1.89728345E+3,1.82462158E+3,1.84884216E+3,2.11526929E+3,1.93765112E+3,1.97801892E+3,2.17985742E+3,2.04260730E+3,1.92150415E+3,2.58353467E+3,2.25251953E+3,2.29288721E+3,2.08297510E+3,2.25251953E+3,2.27674023E+3,2.55124048E+3,2.32518140E+3,2.30903418E+3,2.15563696E+3,1.94572461E+3,2.14756323E+3,1.98609241E+3,2.07490161E+3,2.24444604E+3,1.76810669E+3,
711.00,1.32299597E+3,1.46097717E+3,1.32299609E+3,1.42039453E+3,1.63142456E+3,1.68012378E+3,1.58272534E+3,1.71258997E+3,1.53402600E+3,1.67200720E+3,1.86680420E+3,1.80998840E+3,1.93173657E+3,1.96420264E+3,1.98855225E+3,2.34568018E+3,2.15899976E+3,1.98855225E+3,2.39437939E+3,1.93173657E+3,2.11030029E+3,2.13465015E+3,2.29698096E+3,2.25639795E+3,2.14276660E+3,2.06971777E+3,2.02101855E+3,2.23204834E+3,2.16711621E+3,2.19958252E+3,2.18334937E+3,2.26451465E+3,2.04536816E+3,1.63954114E+3,
711.500,1.37117664E+3,1.50176489E+3,1.52625012E+3,1.50992664E+3,1.50176489E+3,1.61602954E+3,1.90169128E+3,1.73845605E+3,1.85272070E+3,1.68948547E+3,1.71397070E+3,2.04044141E+3,1.93433838E+3,1.96698547E+3,2.18735303E+3,2.21183838E+3,2.14654419E+3,2.08941211E+3,2.17102979E+3,2.34242676E+3,1.91801489E+3,2.07308862E+3,2.26080908E+3,2.10573535E+3,2.30977979E+3,2.13022070E+3,2.23632373E+3,2.47301489E+3,2.16286792E+3,2.21183838E+3,1.91801489E+3,1.80375012E+3,1.88536792E+3,1.99963257E+3,
712.00,1.59248853E+3,1.28876660E+3,1.37085352E+3,1.60890601E+3,1.77308008E+3,1.60890588E+3,1.42831445E+3,1.70741040E+3,1.78949731E+3,2.01113245E+3,1.81412366E+3,2.00292383E+3,1.78128882E+3,1.84695850E+3,2.06038477E+3,1.84695850E+3,2.27381104E+3,2.22455884E+3,2.29022852E+3,2.03575854E+3,2.19993262E+3,2.12605420E+3,2.13426294E+3,2.32306323E+3,2.02755005E+3,2.16709790E+3,2.03575854E+3,2.02754980E+3,2.19172388E+3,2.08501074E+3,2.14247168E+3,1.80591479E+3,2.06038477E+3,1.75666260E+3,
712.500,1.43664978E+3,1.35408374E+3,1.47793286E+3,1.40362341E+3,1.69260461E+3,1.54398572E+3,1.89076318E+3,1.82471021E+3,1.65957825E+3,1.52747241E+3,1.86599341E+3,1.68434814E+3,1.99809912E+3,1.93204626E+3,2.13846143E+3,1.79994055E+3,2.08892188E+3,2.22102759E+3,2.03112561E+3,2.20451440E+3,1.79168396E+3,2.28708057E+3,2.20451440E+3,2.29533716E+3,2.43569946E+3,2.17974463E+3,1.91553296E+3,2.04763879E+3,2.03938220E+3,2.22928418E+3,1.95681604E+3,2.03938220E+3,2.36964648E+3,1.82471045E+3,
713.00,1.46162646E+3,1.42840759E+3,1.45332166E+3,1.28722778E+3,1.48654053E+3,1.61941565E+3,1.61941553E+3,1.77720483E+3,1.66924390E+3,1.75229077E+3,1.87686108E+3,1.79381421E+3,1.76059546E+3,1.81872827E+3,1.90177515E+3,2.06786914E+3,2.16752539E+3,2.38344751E+3,2.08447852E+3,2.15922070E+3,2.02634570E+3,2.07617383E+3,2.10108789E+3,2.17583008E+3,2.18413477E+3,1.96821277E+3,2.30870532E+3,1.98482227E+3,1.98482227E+3,1.91007983E+3,2.00143164E+3,2.29209595E+3,1.71076721E+3,1.69415784E+3,
713.500,1.34472803E+3,1.20273816E+3,1.62035559E+3,1.46166101E+3,1.38648975E+3,1.77069788E+3,1.58694617E+3,1.81245972E+3,1.79575488E+3,1.87927832E+3,1.81245947E+3,1.79575488E+3,1.80410718E+3,1.77069788E+3,1.92939246E+3,2.04632532E+3,2.14655347E+3,2.23007715E+3,2.10479175E+3,2.06303003E+3,2.23842920E+3,2.30524805E+3,1.97950659E+3,2.00456348E+3,2.12984863E+3,2.02962073E+3,2.07138232E+3,2.00456360E+3,2.02126831E+3,1.96280188E+3,1.93774475E+3,1.92104004E+3,1.94609717E+3,1.99621118E+3,
714.00,1.21795410E+3,1.37754810E+3,1.26835229E+3,1.59593994E+3,1.44474548E+3,1.61273926E+3,1.47834436E+3,1.78073279E+3,1.85633008E+3,1.86472974E+3,1.75553394E+3,1.88992871E+3,1.89832861E+3,1.75553394E+3,2.13351978E+3,1.95712622E+3,2.27631445E+3,2.20071704E+3,2.15871875E+3,2.09152100E+3,2.24271533E+3,1.85633008E+3,2.01592407E+3,2.11672021E+3,2.17551807E+3,2.16711841E+3,2.10832080E+3,2.09152100E+3,2.04952271E+3,2.35191138E+3,2.04112317E+3,1.89832849E+3,1.87312939E+3,1.99912463E+3,
714.500,1.35150427E+3,1.41907947E+3,1.53733618E+3,1.35150427E+3,1.55422986E+3,1.50354846E+3,1.56267688E+3,1.74006177E+3,1.68938025E+3,1.98502185E+3,1.86676526E+3,1.68093335E+3,1.79074316E+3,2.02725635E+3,2.02725635E+3,2.21308813E+3,1.89210596E+3,1.74850879E+3,2.22998193E+3,2.03570337E+3,1.86676514E+3,2.28066357E+3,2.10327856E+3,2.01880945E+3,2.08638477E+3,2.06104395E+3,1.74006177E+3,2.35668555E+3,1.92589355E+3,1.96812817E+3,1.82453076E+3,1.76540234E+3,2.02725635E+3,1.74850854E+3,
715.00,1.31656055E+3,1.13818787E+3,1.57137878E+3,1.50342725E+3,1.49493335E+3,1.54589697E+3,1.49493323E+3,1.60535449E+3,1.51192114E+3,1.57987280E+3,1.66481201E+3,1.77523340E+3,1.96209998E+3,1.80920911E+3,1.98758179E+3,1.87716064E+3,2.17444824E+3,2.02155762E+3,2.17444849E+3,1.98758179E+3,1.94511218E+3,2.47173633E+3,1.92812415E+3,2.20842432E+3,2.09800293E+3,2.02155762E+3,2.08950903E+3,1.89414844E+3,1.97908789E+3,2.08950903E+3,1.71577576E+3,2.00456970E+3,1.78372729E+3,1.64782422E+3,
715.500,1.25548413E+3,1.17007715E+3,1.53732751E+3,1.33235059E+3,1.28964697E+3,1.60565332E+3,1.47754260E+3,1.58857178E+3,1.69960095E+3,1.60565320E+3,1.81063013E+3,1.81917102E+3,1.65689746E+3,1.81917090E+3,1.80208960E+3,1.81063013E+3,2.20350293E+3,2.14371777E+3,1.91311865E+3,1.75938599E+3,2.12663647E+3,1.98144434E+3,2.33161328E+3,2.21204346E+3,2.06685156E+3,2.02414783E+3,1.93020020E+3,2.00706641E+3,1.83625244E+3,2.10101416E+3,1.87895593E+3,2.07539209E+3,1.88749658E+3,1.65689746E+3,
716.00,1.39974341E+3,1.05624817E+3,1.23658325E+3,1.22799585E+3,1.46844263E+3,1.33963184E+3,1.56290381E+3,1.35680664E+3,1.75182617E+3,1.79476318E+3,1.79476306E+3,2.05238477E+3,1.82052539E+3,1.76900098E+3,2.21554492E+3,1.89781177E+3,1.87204956E+3,1.89781177E+3,2.07814673E+3,1.88063696E+3,1.81193787E+3,1.86346216E+3,2.11249634E+3,1.81193787E+3,1.70888928E+3,2.32718091E+3,1.83769995E+3,2.10390894E+3,1.68312720E+3,1.81193799E+3,1.88922437E+3,1.78617578E+3,1.73465137E+3,1.45985522E+3,
716.500,1.40738538E+3,1.39875098E+3,1.45055664E+3,1.32104272E+3,1.38148254E+3,1.51099658E+3,1.64914478E+3,1.56280212E+3,1.65777905E+3,1.82183008E+3,1.57143640E+3,1.55416785E+3,1.61460767E+3,1.89090417E+3,1.74412170E+3,1.77865869E+3,2.07222363E+3,1.97724683E+3,2.12402930E+3,2.16720068E+3,2.02041809E+3,2.07222388E+3,1.95997827E+3,2.02041821E+3,1.64051050E+3,2.00314966E+3,1.77865869E+3,1.92544141E+3,2.02905249E+3,1.84773291E+3,2.08949219E+3,2.01178394E+3,2.02041821E+3,1.64914478E+3,
717.00,1.45853833E+3,1.31094824E+3,1.34567529E+3,1.40644775E+3,1.39776599E+3,1.29358459E+3,1.43249304E+3,1.37172058E+3,1.44985669E+3,1.84921826E+3,1.69294629E+3,1.48458374E+3,1.76240039E+3,1.69294629E+3,1.81449121E+3,1.61481030E+3,1.77108228E+3,1.90999072E+3,1.83185474E+3,1.98812659E+3,2.00549023E+3,1.89262720E+3,1.92735425E+3,1.91867249E+3,2.02285376E+3,1.76240039E+3,1.96208130E+3,1.92735425E+3,2.00549023E+3,1.90999072E+3,1.64085559E+3,1.89262695E+3,1.56271960E+3,1.64085571E+3,
717.500,1.22224414E+3,1.20478345E+3,1.33573816E+3,1.21351379E+3,1.65875977E+3,1.31827759E+3,1.39685034E+3,1.25716541E+3,1.53653540E+3,1.68495081E+3,1.59764771E+3,1.51034448E+3,1.85082666E+3,1.74606299E+3,1.87701782E+3,1.95559058E+3,1.66748999E+3,1.78098425E+3,1.74606299E+3,2.08654541E+3,2.14765747E+3,1.55399609E+3,1.99051172E+3,1.51034448E+3,1.71987195E+3,1.72860229E+3,1.78098413E+3,1.78971448E+3,2.08654517E+3,1.74606287E+3,1.78971460E+3,1.83336609E+3,1.85955713E+3,1.55399597E+3,
718.00,1.22041260E+3,1.46625110E+3,1.29065210E+3,1.39601147E+3,1.48381104E+3,1.55405054E+3,1.51015088E+3,1.47503101E+3,1.38723157E+3,1.53649072E+3,1.46625110E+3,1.58917041E+3,1.81744897E+3,1.66818994E+3,1.94914819E+3,1.88768848E+3,1.96670801E+3,1.73842944E+3,1.96670801E+3,1.72964941E+3,2.05450732E+3,1.81744897E+3,1.90524841E+3,1.91402832E+3,2.08084741E+3,2.03694775E+3,1.83500879E+3,1.74720923E+3,1.96670801E+3,1.98426782E+3,1.72964941E+3,1.41357141E+3,1.77354932E+3,1.74720947E+3,
718.500,1.10381311E+3,1.37755872E+3,1.09498254E+3,1.31574512E+3,1.43937231E+3,1.34223669E+3,1.53650781E+3,1.36872827E+3,1.47469434E+3,1.61598230E+3,1.54533838E+3,1.40405017E+3,1.65130444E+3,1.63364331E+3,1.74843994E+3,1.70428735E+3,1.89855835E+3,1.95154150E+3,2.24294824E+3,2.04867700E+3,1.92505005E+3,1.88089746E+3,1.99569409E+3,1.88972803E+3,1.84557544E+3,1.82791455E+3,1.73077893E+3,1.74843994E+3,1.76610083E+3,1.83674500E+3,1.97803296E+3,1.81025342E+3,1.80142285E+3,1.77493140E+3,
