Fixed/Offset Slit,5.9999781,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,
Detector,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,

688.2500,1.68370593E+3,1.65516846E+3,1.74791504E+3,1.71224329E+3,1.89060193E+3,1.86206458E+3,1.99761719E+3,2.08322925E+3,2.08322925E+3,2.55409619E+3,2.40427490E+3,2.68251440E+3,2.66824585E+3,2.93935107E+3,3.08917236E+3,2.80379834E+3,2.98929150E+3,3.63138257E+3,3.53863599E+3,3.82401001E+3,3.78120386E+3,3.53863599E+3,3.58144214E+3,3.96669702E+3,3.12484399E+3,3.56003906E+3,3.44588965E+3,3.81687573E+3,3.36027734E+3,3.65278564E+3,3.55290479E+3,
688.500,1.38594727E+3,1.52882837E+3,1.63598926E+3,1.73600598E+3,1.80744666E+3,1.87174316E+3,1.92889563E+3,2.02891235E+3,2.31467480E+3,2.31467480E+3,2.26466626E+3,2.68616577E+3,2.69330981E+3,2.76475024E+3,3.42200366E+3,3.31484277E+3,3.28626660E+3,3.64346948E+3,3.98638428E+3,3.79349463E+3,4.25071436E+3,3.68633374E+3,4.15784180E+3,4.23642627E+3,3.55774072E+3,3.70062183E+3,3.53630859E+3,3.75777441E+3,3.55059668E+3,3.70776587E+3,3.84350317E+3,
688.7500,1.59528943E+3,1.48798303E+3,1.63105835E+3,1.82420996E+3,1.77413354E+3,1.81705615E+3,1.88859387E+3,2.28920459E+3,2.12466797E+3,2.58966284E+3,2.48235620E+3,2.97596606E+3,3.06181128E+3,3.04750366E+3,3.39803809E+3,3.46242212E+3,3.56972852E+3,3.87734033E+3,4.47110303E+3,4.45679541E+3,4.27079736E+3,4.47825635E+3,4.91463623E+3,4.64994678E+3,4.40671875E+3,4.26364355E+3,4.49971777E+3,4.74294580E+3,4.36379639E+3,4.53548682E+3,5.07201904E+3,
689.00,1.68341479E+3,1.76937634E+3,1.77653979E+3,1.86966492E+3,1.87682837E+3,2.17053052E+3,1.94846301E+3,2.17053052E+3,2.60033862E+3,2.83673291E+3,2.67913672E+3,2.75793481E+3,3.15908887E+3,3.78231055E+3,3.90408960E+3,4.49149365E+3,4.48433057E+3,4.72072461E+3,4.97860986E+3,5.42990820E+3,5.32245605E+3,5.22216748E+3,6.36832227E+3,6.54024561E+3,4.94279248E+3,4.92846533E+3,5.32961963E+3,5.15053271E+3,5.73793701E+3,5.54452344E+3,5.73793701E+3,
689.2500,1.48491077E+3,1.74315613E+3,1.72880920E+3,2.01574841E+3,1.88662573E+3,2.40311646E+3,2.22377954E+3,2.62549438E+3,2.58962695E+3,3.14198511E+3,3.46479175E+3,3.67999634E+3,4.43321191E+3,4.34712988E+3,5.02143750E+3,5.71726514E+3,6.44178662E+3,6.22658252E+3,6.94393066E+3,7.76170752E+3,7.71149316E+3,8.29971875E+3,7.71866650E+3,8.31406543E+3,6.76459375E+3,6.80763428E+3,6.49200146E+3,6.65699121E+3,7.16630859E+3,6.48482764E+3,6.87936914E+3,
689.500,1.88207544E+3,1.81742407E+3,2.00419495E+3,2.14786475E+3,2.34900269E+3,2.60042480E+3,2.93804907E+3,2.93086572E+3,3.52709570E+3,4.15205957E+3,4.66927148E+3,5.39480420E+3,6.40049316E+3,6.96080615E+3,7.57858643E+3,8.11016504E+3,8.11016504E+3,9.13740430E+3,9.61869922E+3,9.44629492E+3,9.87012109E+3,1.01287266E+4,1.08255254E+4,9.68335059E+3,7.96649512E+3,8.29693555E+3,7.89466016E+3,8.46215625E+3,7.94494482E+3,8.05988037E+3,7.60732031E+3,
689.7500,2.12927686E+3,2.15085742E+3,2.64720898E+3,2.87740112E+3,3.20110864E+3,3.06443213E+3,3.57517090E+3,4.17942529E+3,4.91316260E+3,5.52461035E+3,6.39502393E+3,6.94172998E+3,8.32288281E+3,9.24365137E+3,9.91984082E+3,1.00996777E+4,1.08478027E+4,1.08046416E+4,1.09197373E+4,1.15024111E+4,1.17254092E+4,1.12506387E+4,1.16966357E+4,1.07542871E+4,9.26523145E+3,8.62500977E+3,8.74010547E+3,8.83362109E+3,8.15023877E+3,8.16462549E+3,7.92004639E+3,
690.00,2.55004175E+3,3.26318896E+3,2.97504858E+3,3.47929419E+3,3.70260303E+3,4.27888330E+3,4.60304150E+3,5.11449023E+3,6.08696387E+3,6.71366895E+3,7.30435693E+3,8.28403418E+3,9.35015332E+3,9.99126465E+3,9.94804395E+3,1.04955107E+4,1.09133145E+4,1.03298301E+4,1.10069600E+4,1.14463740E+4,1.08772969E+4,1.03802549E+4,1.06035635E+4,1.00416895E+4,7.91665479E+3,8.21199902E+3,7.74377051E+3,7.93106201E+3,7.91665479E+3,7.39800244E+3,7.37639160E+3,
690.2500,2.86433667E+3,2.80661719E+3,3.62912183E+3,3.80949585E+3,3.94657983E+3,4.27125293E+3,4.58149609E+3,4.71136523E+3,5.11540234E+3,5.72867334E+3,6.55117822E+3,7.56848682E+3,7.66949609E+3,8.18897314E+3,8.65794531E+3,8.41263672E+3,9.01147754E+3,9.01147754E+3,9.22071094E+3,8.73009473E+3,9.25678613E+3,8.56415039E+3,8.54972070E+3,8.44871094E+3,6.64497266E+3,6.56560840E+3,7.17887939E+3,6.21929053E+3,6.30587012E+3,6.94800098E+3,6.19043066E+3,
690.500,2.60150439E+3,2.88333398E+3,2.90501318E+3,3.23020142E+3,3.36750293E+3,3.40363501E+3,3.91670947E+3,3.69269092E+3,4.06123755E+3,4.50927441E+3,5.28249951E+3,5.44147998E+3,6.29419531E+3,6.41704443E+3,6.35923291E+3,6.64828906E+3,7.02406201E+3,7.23362744E+3,7.11800537E+3,7.11800537E+3,7.16136377E+3,7.53713672E+3,7.45041992E+3,7.52268359E+3,5.41980078E+3,5.73776270E+3,6.16412012E+3,5.58600830E+3,5.54264990E+3,5.99791309E+3,5.88229053E+3,
690.7500,2.21478174E+3,2.38849023E+3,2.03383557E+3,2.63457690E+3,2.75762036E+3,3.00370728E+3,3.21360498E+3,3.03265869E+3,3.26426978E+3,4.32823340E+3,4.00976831E+3,4.17623877E+3,4.61050977E+3,4.79869385E+3,5.26915381E+3,5.37048389E+3,5.59485693E+3,5.93503613E+3,6.53577734E+3,6.21731201E+3,6.28245264E+3,6.75291309E+3,6.32587988E+3,6.17388525E+3,5.04478076E+3,5.81199268E+3,4.91449951E+3,5.45733789E+3,4.87831006E+3,5.45733789E+3,5.24744043E+3,
691.00,1.90656506E+3,1.94281152E+3,2.31977490E+3,2.34877222E+3,2.36327075E+3,2.19653687E+3,2.58799902E+3,2.92871582E+3,2.67499048E+3,2.92871582E+3,3.48691162E+3,3.85662598E+3,4.00161182E+3,4.37132617E+3,4.53081055E+3,4.85702881E+3,4.97301758E+3,5.11800342E+3,5.41522461E+3,5.22674316E+3,5.24849072E+3,5.11800342E+3,6.24164453E+3,5.74869238E+3,4.87152734E+3,4.77728662E+3,5.11075439E+3,4.84253027E+3,4.75553857E+3,4.98751611E+3,5.26298926E+3,
691.2500,1.74263586E+3,1.77894080E+3,2.12020703E+3,1.95320435E+3,2.09842407E+3,2.33077539E+3,2.36708032E+3,2.52682202E+3,2.78821729E+3,2.78095630E+3,3.07139575E+3,3.12948364E+3,3.48527173E+3,3.73214526E+3,3.87010376E+3,3.82653784E+3,4.40015576E+3,4.32754590E+3,5.06816602E+3,4.68333398E+3,4.81403174E+3,4.99555615E+3,5.24969043E+3,5.46025928E+3,4.58168018E+3,4.87211963E+3,4.80677051E+3,4.77772656E+3,4.79224854E+3,4.58168018E+3,5.02460010E+3,
691.500,1.65816882E+3,1.61453284E+3,1.75998621E+3,1.92725769E+3,2.13816504E+3,2.08725635E+3,2.15271045E+3,2.22543701E+3,2.45088989E+3,2.75634204E+3,2.85815942E+3,3.07633960E+3,3.15633887E+3,3.38906445E+3,4.04360474E+3,4.06542285E+3,4.00724146E+3,4.20360352E+3,5.04723340E+3,4.79996240E+3,4.95996143E+3,5.44722998E+3,5.67268311E+3,5.35268555E+3,4.42178369E+3,4.72723584E+3,4.87268896E+3,4.69087256E+3,4.98905176E+3,5.03996045E+3,5.15632324E+3,
691.7500,1.58799011E+3,1.87208008E+3,1.70453992E+3,2.07604224E+3,2.01048291E+3,2.32371045E+3,2.17073877E+3,2.29457300E+3,2.39655396E+3,2.73163452E+3,2.97930249E+3,3.21968652E+3,3.24882397E+3,3.86070996E+3,3.96997534E+3,4.15208447E+3,4.22492773E+3,4.46531152E+3,4.50901807E+3,5.23016943E+3,4.95336377E+3,5.08448242E+3,5.79106494E+3,6.16985156E+3,4.72026416E+3,5.06991357E+3,4.96064795E+3,5.22288477E+3,4.92422607E+3,5.49969043E+3,5.42684717E+3,
692.00,2.05018994E+3,2.02100562E+3,2.23988721E+3,1.94074915E+3,2.11585425E+3,2.29825562E+3,2.57550537E+3,2.81627490E+3,2.53172900E+3,2.99138013E+3,2.96219604E+3,3.61884033E+3,3.58236011E+3,4.13685986E+3,4.53814258E+3,3.90338623E+3,4.74243213E+3,5.17289893E+3,4.81539258E+3,5.31152393E+3,5.16560303E+3,5.73469482E+3,5.84413525E+3,5.96087207E+3,4.93942529E+3,5.49392529E+3,5.47933301E+3,5.39178027E+3,5.62525391E+3,5.74928662E+3,6.06301709E+3,
692.2500,2.67470166E+3,2.76970483E+3,2.79893652E+3,3.12048535E+3,3.01817432E+3,3.33972314E+3,3.23741211E+3,3.31779932E+3,3.66127197E+3,3.82935425E+3,3.79281470E+3,4.17282715E+3,4.60399463E+3,4.60399463E+3,5.29093994E+3,5.26901611E+3,5.50286963E+3,5.39325098E+3,5.89018994E+3,6.46020850E+3,6.25558643E+3,7.08869043E+3,6.62829053E+3,7.04484277E+3,6.36520557E+3,5.99250098E+3,6.10942773E+3,6.28481836E+3,6.70137012E+3,6.46751611E+3,6.86214453E+3,
692.500,4.64075879E+3,4.17961084E+3,4.53828125E+3,4.82375391E+3,4.73591650E+3,4.98479004E+3,4.86767285E+3,5.10190674E+3,5.33614063E+3,5.22634375E+3,5.85584717E+3,5.95100439E+3,6.19255811E+3,6.62442725E+3,6.66102588E+3,7.15877295E+3,7.52476367E+3,7.48816455E+3,7.67847949E+3,8.13230762E+3,8.57149609E+3,8.57881641E+3,8.55685645E+3,9.17904004E+3,8.34458203E+3,8.35922168E+3,8.33726270E+3,8.53489746E+3,8.86428809E+3,8.46901855E+3,9.16440039E+3,
692.7500,6.78914551E+3,7.20705176E+3,7.29503223E+3,7.63229004E+3,7.55897314E+3,7.41967090E+3,7.78625537E+3,7.74959717E+3,8.16750342E+3,8.22615723E+3,8.43877637E+3,8.24082031E+3,8.75403906E+3,9.33324219E+3,8.91533594E+3,9.86112402E+3,9.66316797E+3,1.05649668E+4,1.09975361E+4,1.10341943E+4,1.07702539E+4,1.14814277E+4,1.22292598E+4,1.28891123E+4,1.13274619E+4,1.14447695E+4,1.14521006E+4,1.15107549E+4,1.18480117E+4,1.13861152E+4,1.15474131E+4,
693.00,9.06931543E+3,9.34837109E+3,9.63477051E+3,1.01561641E+4,9.60539648E+3,9.98726172E+3,9.66414453E+3,1.01781953E+4,1.00974160E+4,1.05674043E+4,1.07216191E+4,1.14926953E+4,1.16322227E+4,1.20287764E+4,1.26529795E+4,1.27190723E+4,1.35048350E+4,1.32845273E+4,1.28071953E+4,1.38793564E+4,1.39674795E+4,1.40776338E+4,1.46944941E+4,1.54875996E+4,1.43199717E+4,1.42685664E+4,1.48487090E+4,1.46430889E+4,1.51057334E+4,1.47605859E+4,1.47165244E+4,
693.2500,8.99647266E+3,8.47419238E+3,9.02589746E+3,9.20979883E+3,9.11416992E+3,9.47461719E+3,9.31278418E+3,9.80564063E+3,9.65116309E+3,9.97483008E+3,1.00631035E+4,1.07325059E+4,1.16667266E+4,1.13209912E+4,1.23287725E+4,1.25053184E+4,1.29687510E+4,1.31747207E+4,1.38588350E+4,1.38367666E+4,1.40353809E+4,1.42781309E+4,1.48592607E+4,1.50137383E+4,1.33954023E+4,1.44693887E+4,1.44178965E+4,1.49254648E+4,1.47857002E+4,1.48298359E+4,1.44031846E+4,
693.500,6.71276563E+3,6.76434521E+3,6.78645117E+3,6.84539941E+3,7.55278223E+3,6.97066504E+3,7.51593945E+3,7.32435645E+3,7.74436475E+3,7.59699365E+3,8.02437061E+3,8.48122168E+3,8.77596484E+3,9.80019531E+3,1.03086270E+4,1.06254746E+4,1.12149600E+4,1.19518174E+4,1.22318232E+4,1.21212939E+4,1.27107793E+4,1.24823545E+4,1.34918477E+4,1.34255313E+4,1.23055088E+4,1.26002510E+4,1.29097314E+4,1.28655195E+4,1.27107793E+4,1.31381563E+4,1.33297393E+4,
693.7500,6.16319238E+3,6.13366846E+3,6.58391357E+3,6.58391357E+3,6.37724365E+3,6.59129443E+3,6.52486523E+3,7.29249609E+3,6.82748877E+3,7.26297168E+3,7.59512012E+3,8.93109375E+3,8.64323145E+3,1.01784941E+4,1.00013486E+4,1.07763604E+4,1.12561299E+4,1.13963701E+4,1.23116230E+4,1.34556885E+4,1.27544873E+4,1.28873467E+4,1.39797451E+4,1.43414170E+4,1.28061543E+4,1.31383027E+4,1.36623584E+4,1.27987734E+4,1.36033105E+4,1.33228291E+4,1.36549775E+4,
694.00,8.60612012E+3,8.34734570E+3,8.54697168E+3,9.13106445E+3,9.27154199E+3,9.55249805E+3,9.05712891E+3,1.00552607E+4,1.01439844E+4,1.09720645E+4,1.03657910E+4,1.10607871E+4,1.27760967E+4,1.31014141E+4,1.33380078E+4,1.41956631E+4,1.48536904E+4,1.50828916E+4,1.63767666E+4,1.60144824E+4,1.65763945E+4,1.68351680E+4,1.73157520E+4,1.85800527E+4,1.69164980E+4,1.57113457E+4,1.65763945E+4,1.75005898E+4,1.73157520E+4,1.70347949E+4,1.71752734E+4,
694.2500,1.26430820E+4,1.24134766E+4,1.24060703E+4,1.33689297E+4,1.31911709E+4,1.30948848E+4,1.35392813E+4,1.35540947E+4,1.42280967E+4,1.47391523E+4,1.50131973E+4,1.59612432E+4,1.62797266E+4,1.76203242E+4,1.78573340E+4,1.95164160E+4,2.07014727E+4,2.03978008E+4,2.13162207E+4,2.10347695E+4,2.18420898E+4,2.31160273E+4,2.27901367E+4,2.32863789E+4,2.18717168E+4,2.16198926E+4,2.21309492E+4,2.24049922E+4,2.22050137E+4,2.18791230E+4,2.23457402E+4,
694.500,1.44237959E+4,1.49431719E+4,1.49209131E+4,1.44163770E+4,1.47428408E+4,1.53586719E+4,1.61451543E+4,1.54996455E+4,1.67906641E+4,1.69835742E+4,1.70206738E+4,1.82374961E+4,1.98772383E+4,2.11682559E+4,2.12424531E+4,2.22515254E+4,2.31864004E+4,2.32531777E+4,2.44922598E+4,2.57684395E+4,2.61245820E+4,2.57981172E+4,2.67478320E+4,2.76233516E+4,2.49745371E+4,2.43438652E+4,2.49151797E+4,2.51971250E+4,2.56868223E+4,2.55681074E+4,2.63397520E+4,
694.7500,1.25240879E+4,1.25240879E+4,1.17213574E+4,1.28362607E+4,1.34234434E+4,1.33416836E+4,1.33937129E+4,1.40775205E+4,1.48282227E+4,1.46424053E+4,1.60248867E+4,1.70060020E+4,1.78458965E+4,1.94216270E+4,2.05365313E+4,2.14656172E+4,2.25061953E+4,2.37846172E+4,2.46616758E+4,2.49589824E+4,2.46765410E+4,2.70921660E+4,2.65941758E+4,2.75975898E+4,2.40967910E+4,2.51522324E+4,2.49069551E+4,2.52488574E+4,2.48474922E+4,2.58880703E+4,2.60813203E+4,
695.00,8.66684375E+3,8.71896484E+3,8.37645996E+3,8.22754590E+3,9.47098438E+3,9.91028320E+3,9.67201953E+3,1.03942568E+4,1.16302500E+4,1.25535215E+4,1.39533213E+4,1.46830039E+4,1.65295488E+4,1.77580957E+4,1.85175605E+4,1.96195313E+4,2.04013340E+4,2.15703164E+4,2.25233711E+4,2.39082793E+4,2.45411680E+4,2.57697148E+4,2.57846055E+4,2.62983633E+4,2.30073438E+4,2.37668105E+4,2.39231699E+4,2.32605000E+4,2.42507832E+4,2.37221348E+4,2.49879121E+4,
695.2500,5.99098828E+3,5.73732227E+3,5.78954785E+3,6.79675000E+3,6.99072949E+3,7.42345361E+3,8.22175488E+3,8.91560547E+3,9.54976953E+3,1.13328906E+4,1.29145713E+4,1.39590771E+4,1.55631396E+4,1.74208691E+4,1.81221797E+4,1.96217930E+4,2.08975820E+4,2.15988926E+4,2.25464082E+4,2.40460215E+4,2.42922266E+4,2.54188008E+4,2.60977285E+4,2.63812383E+4,2.23524297E+4,2.33745527E+4,2.34864648E+4,2.31507305E+4,2.37177480E+4,2.35386895E+4,2.43593730E+4,
695.500,4.77702783E+3,4.91906787E+3,4.92654395E+3,5.21809961E+3,6.01800879E+3,6.72820850E+3,7.31131982E+3,8.15608398E+3,9.95774902E+3,1.10118350E+4,1.31200068E+4,1.45478818E+4,1.61701279E+4,1.72242148E+4,1.99304492E+4,2.17620176E+4,2.34590195E+4,2.44533008E+4,2.51261211E+4,2.59559336E+4,2.66661328E+4,2.77501230E+4,2.92677070E+4,2.98433438E+4,2.43710664E+4,2.46925254E+4,2.53130156E+4,2.53877734E+4,2.65465215E+4,2.61353516E+4,2.65764238E+4,
695.7500,3.87275830E+3,4.37464404E+3,4.97391016E+3,5.78291943E+3,6.00764453E+3,7.25861279E+3,7.79046143E+3,9.04142969E+3,1.00227285E+4,1.27044453E+4,1.45996250E+4,1.74311582E+4,1.96259707E+4,2.17983105E+4,2.43302109E+4,2.62553535E+4,2.80756250E+4,2.88546719E+4,3.03453457E+4,3.23828516E+4,3.32592773E+4,3.33641484E+4,3.45102461E+4,3.54615820E+4,2.91168496E+4,2.90269609E+4,2.87872539E+4,2.85026016E+4,2.96187363E+4,2.94913926E+4,2.97985156E+4,
696.00,5.25411816E+3,4.84129492E+3,5.83957715E+3,6.36498926E+3,7.68602441E+3,8.57171875E+3,1.05007305E+4,1.20394365E+4,1.38483545E+4,1.67906602E+4,1.91700254E+4,2.27878613E+4,2.58652734E+4,2.92354160E+4,3.14121211E+4,3.39791328E+4,3.57730391E+4,3.70715586E+4,3.94659336E+4,4.03140977E+4,4.14249688E+4,4.12673477E+4,4.24607813E+4,4.32038633E+4,3.51200273E+4,3.48197930E+4,3.50299570E+4,3.51425469E+4,3.45645938E+4,3.37239336E+4,3.36563789E+4,
696.2500,6.40786719E+3,6.98698193E+3,7.97975000E+3,8.69424219E+3,1.04616709E+4,1.16424629E+4,1.35753525E+4,1.69447480E+4,1.86219238E+4,2.21191758E+4,2.65640684E+4,2.98808184E+4,3.37917227E+4,3.68828398E+4,4.01995898E+4,4.17564297E+4,4.55394805E+4,4.65773711E+4,4.85328242E+4,4.78408945E+4,5.04281094E+4,5.11651641E+4,5.25415039E+4,5.19699102E+4,4.14631133E+4,4.16661797E+4,4.03725703E+4,4.01168594E+4,4.11547539E+4,3.99062734E+4,3.96279961E+4,
696.500,8.99053418E+3,9.30704883E+3,1.02792021E+4,1.11835313E+4,1.26681367E+4,1.45220107E+4,1.73781816E+4,2.00760957E+4,2.39345645E+4,2.86521465E+4,3.10486172E+4,3.72583398E+4,4.11243438E+4,4.54425156E+4,4.87734570E+4,5.19235352E+4,5.49002852E+4,5.70631367E+4,5.81181875E+4,5.87738242E+4,6.02584297E+4,5.97158359E+4,6.18259336E+4,6.01303164E+4,4.85775195E+4,4.78389844E+4,4.76129023E+4,4.69421914E+4,4.75149336E+4,4.62714805E+4,4.44100703E+4,
696.7500,9.88450293E+3,1.05263535E+4,1.21876143E+4,1.36903008E+4,1.54648291E+4,1.73752793E+4,1.96708398E+4,2.25553926E+4,2.64140488E+4,3.14355879E+4,3.63061016E+4,4.12521289E+4,4.80028906E+4,5.21560430E+4,5.64224648E+4,5.99413164E+4,6.30221992E+4,6.33771055E+4,6.56047031E+4,6.71980078E+4,6.86100781E+4,6.88215078E+4,7.12152344E+4,6.72659688E+4,5.67094063E+4,5.42099648E+4,5.42930273E+4,5.29564688E+4,5.29942227E+4,5.17860352E+4,4.96263945E+4,
697.00,1.02674883E+4,1.11603135E+4,1.21893320E+4,1.42776348E+4,1.65172637E+4,1.79624297E+4,2.04063496E+4,2.34707070E+4,2.74278887E+4,3.23913906E+4,3.78240039E+4,4.52389922E+4,5.01116992E+4,5.60134258E+4,6.11433867E+4,6.55015820E+4,6.76125859E+4,7.04802188E+4,7.44298359E+4,7.39607188E+4,7.45660234E+4,7.54588516E+4,7.72898984E+4,7.47930156E+4,6.36024375E+4,6.08558633E+4,5.98495469E+4,6.00538359E+4,5.72316016E+4,5.84195117E+4,5.68003203E+4,
697.2500,1.06597109E+4,1.08189248E+4,1.33435928E+4,1.35710410E+4,1.60729639E+4,1.74452324E+4,1.97955234E+4,2.41246094E+4,2.84840215E+4,3.32073516E+4,3.84841367E+4,4.57169688E+4,5.07663047E+4,5.82114258E+4,6.36701680E+4,6.87877344E+4,7.22297813E+4,7.71881328E+4,7.66801719E+4,8.04330547E+4,8.11608906E+4,8.23587813E+4,8.24649219E+4,8.27909297E+4,6.59598047E+4,6.55958906E+4,6.53305352E+4,6.42918555E+4,6.23661328E+4,6.21083594E+4,6.05238086E+4,
697.500,1.01494248E+4,1.10154688E+4,1.19574814E+4,1.38111191E+4,1.55128184E+4,1.78374629E+4,1.96835039E+4,2.30793066E+4,2.73335566E+4,3.22943164E+4,3.88732109E+4,4.56344297E+4,5.23956484E+4,5.93543828E+4,6.49456836E+4,7.05065938E+4,7.46924766E+4,8.00102891E+4,8.13093516E+4,8.15448594E+4,8.55104219E+4,8.50850000E+4,8.71285625E+4,8.65132109E+4,6.97089219E+4,6.90631875E+4,6.70956016E+4,6.84250547E+4,6.61156016E+4,6.60016484E+4,6.45886328E+4,
697.7500,9.27924316E+3,1.02383770E+4,1.14867744E+4,1.33822061E+4,1.39987930E+4,1.63205059E+4,1.81550410E+4,2.13369297E+4,2.54246699E+4,3.04106445E+4,3.79847617E+4,4.42952539E+4,5.00805078E+4,5.63377188E+4,6.31277813E+4,6.88901953E+4,7.48200859E+4,7.89382734E+4,8.18232813E+4,8.30488438E+4,8.51650313E+4,8.73116641E+4,9.10340156E+4,8.86514063E+4,7.25288203E+4,7.06181641E+4,7.19350703E+4,7.29474844E+4,6.98188828E+4,6.91033359E+4,6.86313828E+4,
698.00,8.53516309E+3,8.83263477E+3,9.96913086E+3,1.13573340E+4,1.29743623E+4,1.47058027E+4,1.61931641E+4,2.01670859E+4,2.47512090E+4,2.83742676E+4,3.59407383E+4,4.16994961E+4,4.95786914E+4,5.66875156E+4,6.37429453E+4,6.88228516E+4,7.54663984E+4,8.10802344E+4,8.60609844E+4,8.83110938E+4,9.17053281E+4,9.20943281E+4,9.50309141E+4,9.57784063E+4,7.90513203E+4,7.65571250E+4,7.60689688E+4,7.67096797E+4,7.74800547E+4,7.54740234E+4,7.38036016E+4,
698.2500,8.04910547E+3,8.11790137E+3,9.82250781E+3,1.08850205E+4,1.24291035E+4,1.35374795E+4,1.65568496E+4,2.06158008E+4,2.53856406E+4,3.12715020E+4,3.71115000E+4,4.43885625E+4,5.35307578E+4,6.20002813E+4,7.03245703E+4,7.71124219E+4,8.32734609E+4,9.04129375E+4,9.42272813E+4,9.72160703E+4,1.01420258E+5,1.03208953E+5,1.08750828E+5,1.08039945E+5,8.79821484E+4,8.62163906E+4,8.47105313E+4,8.59641406E+4,8.49474922E+4,8.34339844E+4,8.12631016E+4,
698.500,8.90913770E+3,9.60624121E+3,1.08548994E+4,1.30764385E+4,1.49072930E+4,1.80174473E+4,2.11352637E+4,2.59920059E+4,3.32311602E+4,4.04856328E+4,4.88815195E+4,5.89703711E+4,6.83927578E+4,7.87497266E+4,8.96276094E+4,9.70123125E+4,1.03362852E+5,1.11268461E+5,1.17327906E+5,1.19832883E+5,1.24092109E+5,1.25555258E+5,1.27899367E+5,1.26574102E+5,1.04527242E+5,1.00750625E+5,1.01156633E+5,1.00965117E+5,1.00896172E+5,9.55185156E+4,9.20406641E+4,
698.7500,1.33579863E+4,1.42101338E+4,1.65746504E+4,1.90236152E+4,2.29005020E+4,2.59789805E+4,3.17290547E+4,3.83082461E+4,4.60159609E+4,5.58348477E+4,6.69434688E+4,7.93878906E+4,9.34828750E+4,1.06503070E+5,1.14970805E+5,1.25780023E+5,1.32720031E+5,1.40926750E+5,1.44227859E+5,1.50116125E+5,1.54653234E+5,1.55029406E+5,1.54991031E+5,1.53455625E+5,1.24390484E+5,1.20705523E+5,1.19515594E+5,1.20337031E+5,1.17926453E+5,1.11262813E+5,1.07685328E+5,
699.00,2.07341074E+4,2.20035410E+4,2.55041055E+4,2.96124590E+4,3.35130859E+4,3.94294258E+4,4.47225820E+4,5.45318555E+4,6.57567422E+4,7.64507656E+4,9.32611641E+4,1.07832742E+5,1.24443109E+5,1.39314734E+5,1.53047719E+5,1.65465094E+5,1.72758578E+5,1.80475203E+5,1.87237828E+5,1.87614813E+5,1.91107688E+5,1.86768531E+5,1.87768688E+5,1.84945156E+5,1.47077516E+5,1.42923000E+5,1.39907141E+5,1.40245656E+5,1.35137141E+5,1.28012914E+5,1.22958258E+5,
699.2500,2.94735000E+4,3.21718340E+4,3.59109531E+4,4.19397969E+4,4.70126641E+4,5.41979375E+4,6.23314805E+4,7.31402344E+4,8.59071953E+4,1.01403336E+5,1.20600047E+5,1.39180000E+5,1.60597047E+5,1.73495078E+5,1.89307297E+5,2.03030250E+5,2.08018313E+5,2.13754188E+5,2.19960359E+5,2.17570406E+5,2.17940469E+5,2.14286156E+5,2.13761906E+5,2.03939969E+5,1.63010125E+5,1.56618938E+5,1.53288422E+5,1.48069078E+5,1.44414750E+5,1.39326469E+5,1.32835063E+5,
699.500,3.62326641E+4,3.96473398E+4,4.58663789E+4,5.08725117E+4,5.71456328E+4,6.38977305E+4,7.43735313E+4,8.71051797E+4,9.92033359E+4,1.13456906E+5,1.35436000E+5,1.56704344E+5,1.74527094E+5,1.90588438E+5,2.01751813E+5,2.14390750E+5,2.19574578E+5,2.21073328E+5,2.20231250E+5,2.17395984E+5,2.17898141E+5,2.11524594E+5,2.10427563E+5,1.99318281E+5,1.57577313E+5,1.52555734E+5,1.49851813E+5,1.45873172E+5,1.41832719E+5,1.33605047E+5,1.32399875E+5,
699.7500,3.63851602E+4,3.90946914E+4,4.60001289E+4,5.05521445E+4,5.55299453E+4,6.16844570E+4,7.02543203E+4,8.07905391E+4,9.11177266E+4,1.04711844E+5,1.22772813E+5,1.39393859E+5,1.56920672E+5,1.69818047E+5,1.78867891E+5,1.88242875E+5,1.92082672E+5,1.95039938E+5,1.96774031E+5,1.92972953E+5,1.89682797E+5,1.85719141E+5,1.84859828E+5,1.77180234E+5,1.40353813E+5,1.37845563E+5,1.36955281E+5,1.33920609E+5,1.29244727E+5,1.26991945E+5,1.23802438E+5,
